bytes,final_url,kind,label,local_path,mime,original_url,referer,sha256,source_id,source_type
673933,https://cdn-ak.f.st-hatena.com/images/fotolife/c/comicdays_team/20171011/20171011193922.jpg,actual_media,みんな丸太は持ったな!! 実流通画像,media/direct_reference/higanjima_maruta__20171011193922.jpg,image/jpeg,https://cdn-ak.f.st-hatena.com/images/fotolife/c/comicdays_team/20171011/20171011193922.jpg,,76e61f0152d0c4bd3feae687407f69faa92e905fe1de06326b70277da348c197,higanjima_maruta,direct
4764,https://books.r10s.jp/fan/images/oshiraku-images/6_79df7c3a92.svg,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00015__6_79df7c3a92.svg,image/svg+xml,https://books.r10s.jp/fan/images/oshiraku-images/6_79df7c3a92.svg,https://fan.books.rakuten.co.jp/articles/3866,c0786055fb2a2f125366387c6f8757a3f7dd020e5a8f73985624c1d4dfc5e983,sukisugite_metsu_00015,html_media
3772,https://books.r10s.jp/fan/images/oshiraku-images/sanohayato_yoshidajinto_tsumitobatsutoametokiss_jacket_8431e6616a.jpg?fitin=96:72,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00020__sanohayato_yoshidajinto_tsumitobatsutoametokiss_jacket_8431e6616a.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/sanohayato_yoshidajinto_tsumitobatsutoametokiss_jacket_8431e6616a.jpg?fitin=96:72,https://fan.books.rakuten.co.jp/articles/3866,8bef858d2a34d42a6f534c04f63bf6f23c056e538d4928e60757d4d9c7ee7723,sukisugite_metsu_00020,html_media
4486,https://books.r10s.jp/fan/images/oshiraku-images/AAK_0078_4ac330ff8b.JPG?fitin=96:72,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00028__AAK_0078_4ac330ff8b.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/AAK_0078_4ac330ff8b.JPG?fitin=96:72,https://fan.books.rakuten.co.jp/articles/3866,cff91d6b0ca93ae3b34c74c41629904f6a61dde773cdb9c62acd19c12727fc68,sukisugite_metsu_00028,html_media
3990,https://books.r10s.jp/fan/images/oshiraku-images/BBK_0463_8f882c7ef6.JPG?fitin=96:72,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00029__BBK_0463_8f882c7ef6.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/BBK_0463_8f882c7ef6.JPG?fitin=96:72,https://fan.books.rakuten.co.jp/articles/3866,093834fc2d9bc225b32bd51c432cef6f2e6dd905f65adc2c16429e3ec91f8ccc,sukisugite_metsu_00029,html_media
2920,https://books.r10s.jp/fan/images/oshiraku-images/DSB_1226_aebe604920.jpg?fitin=96:72,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00026__DSB_1226_aebe604920.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/DSB_1226_aebe604920.jpg?fitin=96:72,https://fan.books.rakuten.co.jp/articles/3866,bd40d28dad128a6151610623333c2a53d50f934778c0b6f998e7f1bd6c03fad5,sukisugite_metsu_00026,html_media
3821,https://books.r10s.jp/fan/images/oshiraku-images/goodphrases_main_097086e8c5.jpg?fitin=96:72,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00032__goodphrases_main_097086e8c5.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/goodphrases_main_097086e8c5.jpg?fitin=96:72,https://fan.books.rakuten.co.jp/articles/3866,14a5e57a18eaf5f61183debc8477eed28fffa8ebedb4e9a87be1e53cb250e930,sukisugite_metsu_00032,html_media
53683,https://fan.books.rakuten.co.jp/images/about_oshitag/follow.svg,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00030__follow.svg,image/svg+xml,https://fan.books.rakuten.co.jp/images/about_oshitag/follow.svg,https://fan.books.rakuten.co.jp/articles/3866,2d8117b089accf8d086632e56ed31deadb5442545f4b2c9d26f74534d79bf124,sukisugite_metsu_00030,html_media
3337,https://books.r10s.jp/fan/images/oshiraku-images/edogawakai_main_959a1b3f43.jpg?fitin=96:72,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00034__edogawakai_main_959a1b3f43.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/edogawakai_main_959a1b3f43.jpg?fitin=96:72,https://fan.books.rakuten.co.jp/articles/3866,5b74747459d486aabb5cb4e666a12deb2ace94a892ac51994fb8df780076dda8,sukisugite_metsu_00034,html_media
24661,https://books.r10s.jp/fan/images/oshiraku-images/m_lk_20251027_a0f7d45db2.jpg?fitin=300:225,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00009__m_lk_20251027_a0f7d45db2.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/m_lk_20251027_a0f7d45db2.jpg?fitin=300:225,https://fan.books.rakuten.co.jp/articles/3866,bf998c864b9518db35e38370619473a29a4c324df4c2ee8cf142698638a4204e,sukisugite_metsu_00009,html_media
