source_id,url,duplicate_of,sha256
sukisugite_metsu_0001_00048,https://fan.books.rakuten.co.jp/_next/image?url=%2Fimages%2Fsns%2Fx.png&w=1920&q=75,media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00043__image.png,ea40eb74e3401b5883f76ac212b3cedc1ad0d6a1d55612c8d273628218a22f7a
sukisugite_metsu_0001_00005,https://books.r10s.jp/fan/images/oshiraku-images/m_lk_sukisugitemetsu_jacket_69e6896746.jpg?fitaround=720:540,media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00051__m_lk_sukisugitemetsu_jacket_69e6896746.jpg,187728206d06dc1a76e5ce93f1e3efbc800c783c4341fe85f68c4ca710b8d900
sukisugite_metsu_0001_00158,https://fan.books.rakuten.co.jp/apple-icon.png?7223a757851d8479\,media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00147__apple-icon.png,9342085820c9efea9ea9a427fa02eca13e14ed2b14fa5e6e0555e467bb460098
modelpress_2026h1_0001_00006,https://prcdn.freetls.fastly.net/release_image/15193/109/15193-109-045027f385066a05b4b3c0d4f7f2c5ee-1200x1600.jpg?width=1950,media/trend_evidence_modelpress_2026h1/modelpress_2026h1_0001_00005__15193-109-045027f385066a05b4b3c0d4f7f2c5ee-1200x1600.jpg,9c760e6141b1dc786d04aba5c9ccf524ca04c5af474eeece1c73acb625b2f366
simeji_2026h1_0001_00002,https://prcdn.freetls.fastly.net/release_image/6410/970/6410-970-cdac85632de58e93dea0a9f3bf84c105-1366x690.png?width=1950&height=1350&quality=85%2C65&format=jpeg&auto=webp&fit=bounds&bg-color=fff,media/trend_evidence_simeji_2026h1/simeji_2026h1_0001_00001__6410-970-cdac85632de58e93dea0a9f3bf84c105-1366x690.jpg,b007803a5440db72d1c9f31c6f0f51575048469955a3ab1a6594f5214efd84a3
simeji_2026h1_0001_00024,https://prcdn.freetls.fastly.net/release_image/6410/970/6410-970-cdac85632de58e93dea0a9f3bf84c105-1366x690.png?format=jpeg,media/trend_evidence_simeji_2026h1/simeji_2026h1_0001_00001__6410-970-cdac85632de58e93dea0a9f3bf84c105-1366x690.jpg,b007803a5440db72d1c9f31c6f0f51575048469955a3ab1a6594f5214efd84a3
fasme_2026h1_0001_00022,https://prcdn.freetls.fastly.net/release_image/2235/440/2235-440-36768418d9a4359af8e2291c6100760b-1200x1200.png?format=jpeg,media/trend_evidence_fasme_2026h1/fasme_2026h1_0001_00002__2235-440-36768418d9a4359af8e2291c6100760b-1200x1200.jpg,8c437f0338ac698b8b2033990d22e5ce50f92116e52eeaf5b0e5c1aad8622875
fasme_2026h1_0001_00001,https://prcdn.freetls.fastly.net/release_image/2235/440/2235-440-36768418d9a4359af8e2291c6100760b-1200x1200.png?format=jpeg&auto=webp&fit=bounds&width=2400&height=1260,media/trend_evidence_fasme_2026h1/fasme_2026h1_0001_00002__2235-440-36768418d9a4359af8e2291c6100760b-1200x1200.jpg,8c437f0338ac698b8b2033990d22e5ce50f92116e52eeaf5b0e5c1aad8622875
modelpress_2025annual_0001_00005,https://prcdn.freetls.fastly.net/release_image/15193/100/15193-100-f09b8bb40aa0178d72b62fad3122b787-1200x1600.jpg?format=jpeg,media/trend_evidence_modelpress_2025annual/modelpress_2025annual_0001_00006__15193-100-f09b8bb40aa0178d72b62fad3122b787-1200x1600.jpg,9200cfe983540eb88ea0a80fcc6f37951f9e6c393675810893b4832f6ecaf0ca
simeji_2025h1_0001_00022,https://prcdn.freetls.fastly.net/release_image/6410/909/6410-909-18a43aa671442c573fd497a5d5461a6c-1366x710.png?format=jpeg,media/trend_evidence_simeji_2025h1/simeji_2025h1_0001_00001__6410-909-18a43aa671442c573fd497a5d5461a6c-1366x710.jpg,b05961507efe6f873873d379fa2d98087b1d78d25f4963d3c68d3d43d2fc6b82
simeji_2025annual_0001_00032,https://prcdn.freetls.fastly.net/release_image/6410/936/6410-936-317c4ba56bae5b6a4457aeb8fbba9b33-1920x1330.png?format=jpeg,media/trend_evidence_simeji_2025annual/simeji_2025annual_0001_00002__6410-936-317c4ba56bae5b6a4457aeb8fbba9b33-1920x1330.jpg,11dac6d5a64964f9fe1f63ddab3be3a978112e690abdc95c38e83acbae67cbcb
simeji_2025h1_0001_00002,https://prcdn.freetls.fastly.net/release_image/6410/909/6410-909-18a43aa671442c573fd497a5d5461a6c-1366x710.png?width=1950&height=1350&quality=85%2C65&format=jpeg&auto=webp&fit=bounds&bg-color=fff,media/trend_evidence_simeji_2025h1/simeji_2025h1_0001_00001__6410-909-18a43aa671442c573fd497a5d5461a6c-1366x710.jpg,b05961507efe6f873873d379fa2d98087b1d78d25f4963d3c68d3d43d2fc6b82
trepo_2025h1_0001_00002,https://prcdn.freetls.fastly.net/release_image/82823/49/82823-49-62262577f0d8b78f53594ac6e5f811ad-1920x1080.jpg?width=1950&height=1350&quality=85%2C65&format=jpeg&auto=webp&fit=bounds&bg-color=fff,media/trend_evidence_trepo_2025h1/trepo_2025h1_0001_00001__82823-49-62262577f0d8b78f53594ac6e5f811ad-1920x1080.jpg,333a34ae445b04aa9bdffc8522b5de58c4ce026042dcc38986c1547b6942d790
